name,repo,Version,Version_Satisfied,update_pr
dyte-react-sample-app,https://github.com/dyte-in/react-sample-app,1.1.42,True
dyte-js-sample-app,https://github.com/dyte-in/javascript-sample-app,0.29.0,False,https://github.com/dyte-in/javascript-sample-app/pull/0
dyte-sample-app-backend,https://github.com/dyte-in/backend-sample-app,1.0.0,True
